NSN          	SRAN	INVENTORY                                                    
1560014370381	W	2                                                               
1560014372385	W	18                                                              
1560014375060	W	13                                                              
1560014375120	W	4                                                               
1560014375134	W	2                                                               
1560014375340	W	19                                                              
1560014375399	W	3                                                               
1560014375491	W	1                                                               
1560014375738	W	4                                                               
1560014375741	W	1                                                               
1560014375787	W	199                                                             
1560014377344	W	3                                                               
1560014377349	W	2                                                               
1560014378742	W	9                                                               
1560014383191	W	5                                                               
1560014383196	W	3                                                               
1560014383201	W	3                                                               
1560014383205	W	9                                                               
1560014383328	W	7                                                               
1560014383342	W	5                                                               
1560014383353	W	2                                                               
1560014383360	W	3                                                               
1560014383382	W	6                                                               
1560014383388	W	9                                                               
1560014383390	W	3                                                               
1560014383723	W	5                                                               
1560014383735	W	1                                                               
1560014383945	W	1                                                               
1560014384860	W	28                                                              
1560014384862	W	42                                                              
1560014394054	W	1                                                               
1560014408631	W	1                                                               
1560014408632	W	4                                                               
1560014408633	W	2                                                               
1560014408637	W	2                                                               
1560014411645	W	1                                                               
1560014414096	W	1                                                               
1560014414097	W	1                                                               
1560014414099	W	3                                                               
1560014421959	W	2                                                               
1560014421975	W	11                                                              
1560014428360	W	1                                                               
1560014428369	W	1                                                               
1560014428372	W	1                                                               
1560014428374	W	1                                                               
1560014428377	W	1                                                               
1560014428386	W	2                                                               
1560014428387	W	15                                                              
1560014428388	W	9                                                               
1560014428390	W	3                                                               
1560014429646	W	7                                                               
1560014429658	W	6                                                               
1560014433207	W	16                                                              
1560014433213	W	3                                                               
1560014434071	W	3                                                               
1560014434082	W	7                                                               
1560014434090	W	10                                                              
1560014438398	W	2                                                               
1560014438399	W	2                                                               
1560014438419	W	2                                                               
1560014438420	W	4                                                               
1560014438421	W	3                                                               
1560014438423	W	3                                                               
1560014440954	W	4                                                               
1560014440955	W	1                                                               
1560014440956	W	2                                                               
1560014440975	W	1                                                               
1560014441511	W	2                                                               
1560014442917	W	13                                                              
1560014442926	W	3                                                               
1560014442927	W	16                                                              
1560014442941	W	1                                                               
1560014442942	W	13                                                              
1560014442943	W	29                                                              
1560014443834	W	4                                                               
1560014443835	W	14                                                              
1560014443838	W	1                                                               
1560014447673	W	5                                                               
1560014447674	W	9                                                               
1560014452394	W	1                                                               
1560014454463	W	2                                                               
1560014454466	W	1                                                               
1560014455746	W	5                                                               
1560014455766	W	9                                                               
